"date","id","year","month","day","season","time_of_day","time","lat","lon","swell","beaufort","home_screen","effort","age","species","species_nice_name","group","count","behaviour","distance_band","shag_plumage","scientific_name","dist_to_coast","dist_to_mainland","region_mainland","region_islands"
"2025-07-25",1,2025,"July",25,"Winter","afternoon","16H 41M 13S",-46.6286058,168.3490806,"0-0.5",1,"seabirds",NA,"adult","black-backed_gull","Black-backed gull","gull",1,"flying",NA,NA,"Larus dominicanus",581.872784017844,581.872742286048,"Coastal","Coastal"
"2025-07-25",1,2025,"July",25,"Winter","afternoon","16H 42M 2S",-46.63328973,168.344777,"0-0.5",1,"seabirds",NA,NA,"tern_sp","Unknown tern","tern",1,NA,NA,NA,"Sternidae spp.",980.898686412929,980.898632857137,"Coastal","Coastal"
"2025-07-25",1,2025,"July",25,"Winter","afternoon","16H 45M 45S",-46.65432542,168.3263086,"0-0.5",1,"seabirds",NA,"adult","Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"flying",NA,NA,"Thalassarche bulleri",3244.38719294806,3244.38713281605,"Coastal","Coastal"
"2025-07-25",1,2025,"July",25,"Winter","afternoon","17H 0M 40S",-46.73792539,168.2581124,"0-0.5",1,"seabirds",NA,"dont_know","Thalassarche_sp","Unknown (Thalassarche) mollymawk","mollymawk_sooty",1,"flying_E",NA,NA,"Thalassarche spp.",8492.1050572178,13689.3275800375,"Offshore","Offshore"
"2025-07-25",1,2025,"July",25,"Winter","afternoon","17H 0M 6S",-46.73473289,168.2606534,"0-0.5",1,"seabirds",NA,"dont_know","black_shag","Black shag","shag",2,"flying_E",NA,NA,"Phalacrocorax carbo",8873.73536466346,13286.4618649546,"Offshore","Offshore"
"2025-07-25",1,2025,"July",25,"Winter","afternoon","17H 15M 38S",-46.82407295,168.200645,"0-0.5",1,"seabirds",NA,"dont_know","black_shag","Black shag","shag",1,"flying_W",NA,NA,"Phalacrocorax carbo",1268.06802261707,5916.55123714314,"Coastal","Coastal"
"2025-07-25",1,2025,"July",25,"Winter","afternoon","17H 24M 58S",-46.8745098,168.1613317,"0-0.5",2,"seabirds",NA,"dont_know","Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"flying_N",NA,NA,"Thalassarche bulleri",964.070695983587,964.070719324129,"Coastal","Coastal"
"2025-07-26",3,2025,"July",26,"Winter","morning","10H 13M 53S",-46.75110974,168.2522085,"0-0.5",2,"seabirds",NA,"dont_know","black-browed_mollymawk","Black-browed mollymawk","mollymawk_sooty",1,"flying_E",NA,NA,"Thalassarche melanophris",6977.69326568827,14714.3302075069,"Offshore","Offshore"
"2025-07-26",3,2025,"July",26,"Winter","morning","10H 30M 22S",-46.84900132,168.187332,"0-0.5",2,"seabirds",NA,"dont_know","Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"flying_N",NA,NA,"Thalassarche bulleri",1488.28886821521,3492.795121753,"Coastal","Coastal"
"2025-07-26",3,2025,"July",26,"Winter","morning","10H 35M 17S",-46.87662296,168.1639644,"0-0.5",2,"seabirds",NA,"dont_know","Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"flying",NA,NA,"Thalassarche bulleri",1077.23469300635,1077.23467995861,"Coastal","Coastal"
"2025-07-26",3,2025,"July",26,"Winter","morning","10H 9M 40S",-46.7263918,168.2695836,"0-0.5",2,"seabirds",NA,"dont_know","Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"flying_N",NA,NA,"Thalassarche bulleri",9916.30629813699,12166.7397418544,"Offshore","Offshore"
"2025-07-26",4,2025,"July",26,"Winter","afternoon","15H 10M 57S",-46.82450579,168.2051115,"0-0.5",1,"seabirds",NA,"adult","spotted_shag","Spotted shag","shag",1,"sitting_on_water","50-100m",NA,"Stictocarbo punctatus",944.915129333029,6132.45089735353,"Coastal","Coastal"
"2025-07-26",4,2025,"July",26,"Winter","afternoon","15H 11M 27S",-46.82157385,168.2073968,"0-0.5",1,"seabirds",NA,"adult","Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"flying_N",NA,NA,"Thalassarche bulleri",1031.99948907724,6480.42010904355,"Coastal","Coastal"
"2025-07-26",4,2025,"July",26,"Winter","afternoon","15H 17M 31S",-46.7867809,168.2366208,"0-0.5",1,"seabirds",NA,"dont_know","common_diving_petrel","Common diving petrel","diving_petrel",1,"flying_N",NA,NA,"Pelecanoides urinatrix",2973.84892394202,10823.4179283809,"Offshore","Coastal"
"2025-07-26",4,2025,"July",26,"Winter","afternoon","15H 23M 45S",-46.75097739,168.266224,"0-0.5",1,"seabirds",NA,"adult","Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"sitting_on_water","0-50m",NA,"Thalassarche bulleri",7201.73289697911,14813.7753266844,"Offshore","Offshore"
