"date","time","year","month","day","season","time_of_day","lat","lon","swell","beaufort","id","home_screen","effort","group","species","age","count","behaviour","distance_band","shag_plumage","note","species_nice_name"
2025-07-25,16H 37M 31S,2025,7,25,"winter","afternoon",-46.60594562,168.3624357,"0-0.5","1",1,"effort","ON",NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-25,16H 41M 13S,2025,7,25,"winter","afternoon",-46.6286058,168.3490806,"0-0.5","1",1,"seabirds",NA,"gull","black-backed_gull","adult",1,"flying",NA,NA,NA,"Black-backed gull"
2025-07-25,16H 42M 2S,2025,7,25,"winter","afternoon",-46.63328973,168.344777,"0-0.5","1",1,"seabirds",NA,"tern","tern_sp",NA,1,NA,NA,NA,NA,"Unknown tern"
2025-07-25,16H 45M 45S,2025,7,25,"winter","afternoon",-46.65432542,168.3263086,"0-0.5","1",1,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk","adult",1,"flying",NA,NA,NA,"Buller's mollymawk"
2025-07-25,17H 0M 6S,2025,7,25,"winter","afternoon",-46.73473289,168.2606534,"0-0.5","1",1,"seabirds",NA,"shag","black_shag","dont_know",2,"flying_E",NA,NA,"Black shag; E","Black shag"
2025-07-25,17H 0M 40S,2025,7,25,"winter","afternoon",-46.73792539,168.2581124,"0-0.5","1",1,"seabirds",NA,"mollymawk_sooty","Thalassarche_sp","dont_know",1,"flying_E",NA,NA,"E","Unknown (Thalassarche) mollymawk"
2025-07-25,17H 15M 38S,2025,7,25,"winter","afternoon",-46.82407295,168.200645,"0-0.5","1",1,"seabirds",NA,"shag","black_shag","dont_know",1,"flying_W",NA,NA,"Black; W","Black shag"
2025-07-25,17H 20M 17S,2025,7,25,"winter","afternoon",-46.84926862,168.1815105,"0-0.5","1",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-25,17H 21M 40S,2025,7,25,"winter","afternoon",-46.85696354,168.1760023,"0-0.5","2",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-25,17H 24M 58S,2025,7,25,"winter","afternoon",-46.8745098,168.1613317,"0-0.5","2",1,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk","dont_know",1,"flying_N",NA,NA,"N","Buller's mollymawk"
2025-07-25,17H 27M 1S,2025,7,25,"winter","afternoon",-46.885669,168.1512309,"0-0.5","2",NA,"effort","OFF",NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-25,17H 28M 37S,2025,7,25,"winter","afternoon",-46.89243743,168.1399171,"0-0.5","2",NA,"seabirds",NA,"gull","red-billed_gull","adult",1,"sitting_on_water",NA,NA,NA,"Red-billed gull"
2025-07-25,17H 28M 59S,2025,7,25,"winter","afternoon",-46.89404156,168.1372749,"0-0.5","2",NA,"seabirds",NA,"gull","red-billed_gull","adult",1,"sitting_on_water",NA,NA,NA,"Red-billed gull"
2025-07-26,8H 5M 42S,2025,7,26,"winter","morning",-46.88703911,168.1498593,"0-0.5","2",2,"effort","ON",NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,8H 6M 6S,2025,7,26,"winter","morning",-46.88532224,168.1517444,"0-0.5","2",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,8H 7M 9S,2025,7,26,"winter","morning",-46.88013209,168.1567343,"0-0.5","5",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,8H 8M 55S,2025,7,26,"winter","morning",-46.8705242,168.1647761,"0-0.5","5",2,"seabirds",NA,"shag","other","dont_know",1,"flying_W",NA,NA,NA,"Unknown shag"
2025-07-26,8H 12M 0S,2025,7,26,"winter","morning",-46.8534335,168.1798494,"0-0.5","5",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,8H 20M 18S,2025,7,26,"winter","morning",-46.80698825,168.2167895,"0-0.5","4",2,"seabirds",NA,"shag","pied_shag","dont_know",1,"flying_E",NA,NA,NA,"Pied shag"
2025-07-26,8H 22M 38S,2025,7,26,"winter","morning",-46.79387421,168.2264886,"0-0.5","4",NA,"note",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,8H 30M 0S,2025,7,26,"winter","morning",-46.75220559,168.2575819,"0-0.5","4",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,8H 48M 32S,2025,7,26,"winter","morning",-46.6486481,168.336559,"0-0.5","3",2,"seabirds",NA,"mollymawk_sooty","black-browed_mollymawk","dont_know",1,"flying_W",NA,NA,NA,"Black-browed mollymawk"
2025-07-26,8H 52M 0S,2025,7,26,"winter","morning",-46.62976732,168.3521101,"0-0.5","3",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,8H 53M 42S,2025,7,26,"winter","morning",-46.6203728,168.3588643,"0-0.5","2",2,"seabirds",NA,"tern","tern_sp","dont_know",1,"flying_W",NA,NA,NA,"Unknown tern"
2025-07-26,8H 55M 56S,2025,7,26,"winter","morning",-46.6076246,168.3623456,"0-0.5","2",NA,"effort","OFF",NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,8H 56M 40S,2025,7,26,"winter","morning",-46.60341369,168.3605999,"0-0.5","2",NA,"seabirds",NA,"shag","spotted_shag","adult",2,"flying",NA,NA,NA,"Spotted shag"
2025-07-26,8H 57M 19S,2025,7,26,"winter","morning",-46.60048942,168.3563485,"0-0.5","2",NA,"seabirds",NA,"gull","red-billed_gull","adult",1,"flying",NA,NA,NA,"Red-billed gull"
2025-07-26,9H 48M 44S,2025,7,26,"winter","morning",-46.60643265,168.3617751,"0-0.5","2",3,"effort","ON",NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,9H 51M 25S,2025,7,26,"winter","morning",-46.62277241,168.3559413,"0-0.5","2",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,9H 54M 35S,2025,7,26,"winter","morning",-46.64100875,168.341474,"0-0.5","3",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,9H 58M 31S,2025,7,26,"winter","morning",-46.66369915,168.323016,"0-0.5","4",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,9H 59M 54S,2025,7,26,"winter","morning",-46.67144524,168.316275,"0-0.5","2",3,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk","adult",1,"flying_W",NA,NA,NA,"Buller's mollymawk"
2025-07-26,10H 0M 31S,2025,7,26,"winter","morning",-46.67499347,168.3132329,"0-0.5","2",3,"seabirds",NA,"mollymawk_sooty","Thalassarche_sp","dont_know",NA,"flying_E",NA,NA,NA,"Unknown (Thalassarche) mollymawk"
2025-07-26,10H 9M 40S,2025,7,26,"winter","morning",-46.7263918,168.2695836,"0-0.5","2",3,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk","dont_know",1,"flying_N",NA,NA,NA,"Buller's mollymawk"
2025-07-26,10H 13M 53S,2025,7,26,"winter","morning",-46.75110974,168.2522085,"0-0.5","2",3,"seabirds",NA,"mollymawk_sooty","black-browed_mollymawk","dont_know",1,"flying_E",NA,NA,NA,"Black-browed mollymawk"
2025-07-26,10H 30M 22S,2025,7,26,"winter","morning",-46.84900132,168.187332,"0-0.5","2",3,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk","dont_know",1,"flying_N",NA,NA,NA,"Buller's mollymawk"
2025-07-26,10H 35M 17S,2025,7,26,"winter","morning",-46.87662296,168.1639644,"0-0.5","2",3,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk","dont_know",1,"flying",NA,NA,NA,"Buller's mollymawk"
2025-07-26,10H 35M 45S,2025,7,26,"winter","morning",-46.87924038,168.1618153,"0-0.5","2",NA,"effort","OFF",NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,14H 59M 22S,2025,7,26,"winter","afternoon",-46.88899762,168.1474619,"0-0.5","2",4,"effort","ON",NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,15H 0M 46S,2025,7,26,"winter","afternoon",-46.88137474,168.1556077,"0-0.5","2",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,15H 0M 54S,2025,7,26,"winter","afternoon",-46.88069128,168.1561783,"0-0.5","1",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,15H 10M 57S,2025,7,26,"winter","afternoon",-46.82450579,168.2051115,"0-0.5","1",4,"seabirds",NA,"shag","spotted_shag","adult",1,"sitting_on_water","50-100m",NA,NA,"Spotted shag"
2025-07-26,15H 11M 27S,2025,7,26,"winter","afternoon",-46.82157385,168.2073968,"0-0.5","1",4,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk","adult",1,"flying_N",NA,NA,NA,"Buller's mollymawk"
2025-07-26,15H 17M 31S,2025,7,26,"winter","afternoon",-46.7867809,168.2366208,"0-0.5","1",4,"seabirds",NA,"diving_petrel","common_diving_petrel","dont_know",1,"flying_N",NA,NA,"N","Common diving petrel"
2025-07-26,15H 23M 45S,2025,7,26,"winter","afternoon",-46.75097739,168.266224,"0-0.5","1",4,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk","adult",1,"sitting_on_water","0-50m",NA,NA,"Buller's mollymawk"
2025-07-26,15H 26M 26S,2025,7,26,"winter","afternoon",-46.7356875,168.2797585,"0-0.5","1",NA,"note",NA,NA,NA,NA,NA,NA,NA,NA,"Light rain",NA
2025-07-26,15H 29M 16S,2025,7,26,"winter","afternoon",-46.71970225,168.2937494,"0-0.5","1",NA,"note",NA,NA,NA,NA,NA,NA,NA,NA,"Rain stop",NA
2025-07-26,15H 31M 57S,2025,7,26,"winter","afternoon",-46.70430214,168.307166,"0-0.5","1",4,"seabirds",NA,"shag","other",NA,1,"sitting_on_water","100-200m",NA,NA,"Unknown shag"
2025-07-26,15H 32M 15S,2025,7,26,"winter","afternoon",-46.70258808,168.3086555,"0-0.5","1",4,"seabirds",NA,"diving_petrel","common_diving_petrel",NA,2,"sitting_on_water","0-50m",NA,NA,"Common diving petrel"
2025-07-26,15H 39M 24S,2025,7,26,"winter","afternoon",-46.66019015,168.338896,"0-0.5","1",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,15H 40M 6S,2025,7,26,"winter","afternoon",-46.65563132,168.3411836,"0-0.5","2",4,"seabirds",NA,"mollymawk_sooty","black-browed_mollymawk","dont_know",1,"flying_N",NA,NA,NA,"Black-browed mollymawk"
2025-07-26,15H 45M 11S,2025,7,26,"winter","afternoon",-46.62422349,168.3573619,"0-0.5","2",4,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk","dont_know",20,"flying_N",NA,NA,"Following boat","Buller's mollymawk"
2025-07-26,15H 47M 10S,2025,7,26,"winter","afternoon",-46.61213796,168.3636175,"0-0.5","2",4,"seabirds",NA,"shag","stewart_island_shag","adult",1,"flying_N",NA,"pied","Pied phase","Stewart Island shag"
2025-07-26,15H 48M 47S,2025,7,26,"winter","afternoon",-46.60258569,168.3573037,"0-0.5","2",NA,"effort","OFF",NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,16H 25M 5S,2025,7,26,"winter","afternoon",-46.60646802,168.3597237,"0-0.5","2",5,"effort","ON",NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,16H 25M 48S,2025,7,26,"winter","afternoon",-46.61112106,168.362078,"0-0.5","2",5,"seabirds",NA,"shag","spotted_shag","dont_know",1,"flying_N",NA,NA,NA,"Spotted shag"
