"species","month","total_count"
"Australasian gannet","January",1
"Australasian gannet","April",2
"Australasian gannet","November",1
"Black shag","January",1
"Black shag","July",4
"Black shag","August",1
"Black shag","September",1
"Black-backed gull","January",4
"Black-backed gull","February",10
"Black-backed gull","March",2
"Black-backed gull","May",7
"Black-backed gull","July",1
"Black-backed gull","August",15
"Black-backed gull","September",10
"Black-backed gull","October",25
"Black-backed gull","November",9
"Black-backed gull","December",13
"Black-billed gull","January",1
"Black-billed gull","February",3
"Black-billed gull","March",2
"Black-billed gull","July",9
"Black-billed gull","September",1
"Black-billed gull","October",1
"Black-browed mollymawk","January",1
"Black-browed mollymawk","July",3
"Black-browed mollymawk","August",1
"Black-fronted tern","February",3
"Black-fronted tern","March",6
"Black-fronted tern","April",2
"Black-fronted tern","May",2
"Black-fronted tern","July",1
"Black-fronted tern","August",1
"Black-fronted tern","September",1
"Blue penguin","January",48
"Blue penguin","February",10
"Blue penguin","March",24
"Blue penguin","May",5
"Blue penguin","August",5
"Blue penguin","September",8
"Blue penguin","October",8
"Blue penguin","November",21
"Blue penguin","December",5
"Brown skua","January",3
"Brown skua","February",1
"Brown skua","April",1
"Brown skua","May",1
"Brown skua","July",1
"Brown skua","September",1
"Brown skua","October",1
"Brown skua","November",3
"Buller's mollymawk","January",6
"Buller's mollymawk","February",2
"Buller's mollymawk","April",11
"Buller's mollymawk","May",14
"Buller's mollymawk","July",47
"Buller's mollymawk","August",45
"Buller's mollymawk","September",8
"Buller's mollymawk","October",10
"Buller's mollymawk","November",6
"Buller's mollymawk","December",3
"Cape petrel","January",18
"Cape petrel","July",2
"Cape petrel","August",1
"Cape petrel","September",5
"Cape petrel","October",1
"Cape petrel","November",10
"Cape petrel","December",4
"Common diving petrel","January",720
"Common diving petrel","February",88
"Common diving petrel","March",17
"Common diving petrel","April",31
"Common diving petrel","May",37
"Common diving petrel","July",18
"Common diving petrel","August",39
"Common diving petrel","September",876
"Common diving petrel","October",331
"Common diving petrel","November",394
"Common diving petrel","December",229
"Cook's petrel","January",12
"Cook's petrel","February",11
"Cook's petrel","December",2
"Fairy prion","February",20
"Fairy prion","April",8
"Fairy prion","May",6
"Fairy prion","September",1
"Fairy prion","October",23
"Fairy prion","December",4
"Fluttering/Hutton's shearwater","August",1
"Fluttering/Hutton's shearwater","September",1
"Fluttering/Hutton's shearwater","November",8
"Fluttering/Hutton's shearwater","December",226
"Grey-headed mollymawk","April",1
"Grey-headed mollymawk","May",1
"Grey-headed mollymawk","September",1
"Grey-headed mollymawk","November",1
"Grey-headed mollymawk","December",2
"Little shag","July",1
"Mottled petrel","February",1
"Northern giant petrel","February",1
"Northern royal albatross","February",1
"Northern royal albatross","August",1
"Pied shag","February",2
"Pied shag","March",1
"Pied shag","April",2
"Pied shag","July",2
"Pied shag","August",12
"Pied shag","September",3
"Pied shag","October",5
"Pied shag","November",1
"Red-billed gull","January",26
"Red-billed gull","February",4
"Red-billed gull","March",14
"Red-billed gull","April",6
"Red-billed gull","May",4
"Red-billed gull","July",8
"Red-billed gull","August",24
"Red-billed gull","September",19
"Red-billed gull","October",5
"Red-billed gull","November",44
"Red-billed gull","December",6
"Salvin's' mollymawk","February",1
"Salvin's' mollymawk","November",2
"Salvin's' mollymawk","December",2
"Sooty shearwater","January",205
"Sooty shearwater","February",2800
"Sooty shearwater","March",156
"Sooty shearwater","April",41
"Sooty shearwater","May",4
"Sooty shearwater","October",175
"Sooty shearwater","November",26
"Sooty shearwater","December",48
"Southern royal albatross","January",1
"Spotted shag","January",4
"Spotted shag","February",5
"Spotted shag","March",2
"Spotted shag","April",2
"Spotted shag","May",4
"Spotted shag","July",5
"Spotted shag","August",7
"Spotted shag","September",2
"Spotted shag","October",1
"Spotted shag","November",2
"Spotted shag","December",4
"Stewart Island shag","January",19
"Stewart Island shag","February",37
"Stewart Island shag","March",20
"Stewart Island shag","April",2
"Stewart Island shag","May",19
"Stewart Island shag","July",17
"Stewart Island shag","August",11
"Stewart Island shag","September",15
"Stewart Island shag","October",6
"Stewart Island shag","November",11
"Stewart Island shag","December",7
"Unknown (Thalassarche) mollymawk","January",73
"Unknown (Thalassarche) mollymawk","February",14
"Unknown (Thalassarche) mollymawk","March",17
"Unknown (Thalassarche) mollymawk","April",81
"Unknown (Thalassarche) mollymawk","May",19
"Unknown (Thalassarche) mollymawk","July",14
"Unknown (Thalassarche) mollymawk","August",35
"Unknown (Thalassarche) mollymawk","September",19
"Unknown (Thalassarche) mollymawk","October",21
"Unknown (Thalassarche) mollymawk","November",20
"Unknown (Thalassarche) mollymawk","December",30
"Unknown (gadfly) petrel","January",14
"Unknown (gadfly) petrel","February",11
"Unknown (gadfly) petrel","April",2
"Unknown (gadfly) petrel","December",1
"Unknown (giant) petrel","January",1
"Unknown (giant) petrel","September",1
"Unknown (great) albatross","January",4
"Unknown (great) albatross","March",2
"Unknown (great) albatross","April",1
"Unknown (royal) albatross","January",1
"Unknown (royal) albatross","March",1
"Unknown gull","January",41
"Unknown gull","March",1
"Unknown gull","July",1
"Unknown gull","September",1
"Unknown gull","October",1
"Unknown gull","November",2
"Unknown gull","December",17
"Unknown mollymawk","April",9
"Unknown mollymawk","May",1
"Unknown mollymawk","September",1
"Unknown mollymawk","October",1
"Unknown mollymawk","December",1
"Unknown petrel","January",21
"Unknown petrel","February",3
"Unknown petrel","March",8
"Unknown petrel","April",19
"Unknown petrel","September",4
"Unknown petrel","October",7
"Unknown petrel","November",1
"Unknown petrel","December",10
"Unknown prion","February",36
"Unknown prion","April",22
"Unknown prion","September",1
"Unknown shag","January",9
"Unknown shag","February",9
"Unknown shag","March",8
"Unknown shag","April",2
"Unknown shag","May",4
