"species_nice_name","scientific_name","group","total_count"
"Sooty shearwater","Ardenna grisea","shearwater",3455
"Common diving petrel","Pelecanoides urinatrix","diving_petrel",2780
"White-fronted tern","Sterna striata","tern",647
"Unknown (Thalassarche) mollymawk","Thalassarche spp.","mollymawk_sooty",343
"White-capped mollymawk","Thalassarche cauta steadi","mollymawk_sooty",261
"Fluttering/Hutton's shearwater","Puffinus gavia/huttoni","shearwater",236
"Stewart Island shag","Leucocarbo chalconotus","shag",164
"Red-billed gull","Chroicocephalus novaehollandiae scopulinus","gull",160
"Buller's mollymawk","Thalassarche bulleri","mollymawk_sooty",152
"Blue penguin","Eudyptula minor","penguin",134
"Unknown tern","Sternidae spp.","tern",131
"Black-backed gull","Larus dominicanus","gull",96
"Unknown shag","Phalacrocoracidae spp.","shag",82
"Unknown petrel","Procellariidae (petrel) spp.","petrel",73
"Unknown gull","Laridae spp.","gull",64
"Fairy prion","Pachyptila turtur","prion",62
"Unknown prion","Pachyptila spp.","prion",59
"Cape petrel","Daption capense","petrel",41
"Spotted shag","Stictocarbo punctatus","shag",38
"Pied shag","Phalacrocorax varius","shag",28
"Unknown (gadfly) petrel","Pterodroma spp.","gadfly",28
"Unknown shearwater","Procellariidae (shearwater) spp.","shearwater",27
"Cook's petrel","Pterodroma cookii","gadfly",25
"Black-billed gull","Chroicocephalus bulleri","gull",17
"Black-fronted tern","Chlidonias albostriatus","tern",16
"Unknown mollymawk","other_mollymawk","mollymawk_sooty",13
"Brown skua","Stercorarius antarcticus","skua",12
"Black shag","Phalacrocorax carbo","shag",7
"Unknown (great) albatross","Diomedeidae spp.","albatross",7
"Grey-headed mollymawk","Thalassarche chrysostoma","mollymawk_sooty",6
"Black-browed mollymawk","Thalassarche melanophris","mollymawk_sooty",5
"Salvin's' mollymawk","Thalassarche salvini","mollymawk_sooty",5
"Australasian gannet","Morus serrator","gannet",4
"Westland petrel","Procellaria westlandica","petrel",4
"other","other","gannet",4
"Northern royal albatross","Diomedea sanfordi","albatross",2
"Unknown (giant) petrel","Macronectes spp.","petrel",2
"Unknown (royal) albatross","Diomedea spp.","albatross",2
"White-chinned petrel","Procellaria aequinoctialis","petrel",2
"Little shag","Microcarbo melanoleucos","shag",1
"Mottled petrel","Pterodroma inexpectata","gadfly",1
"Northern giant petrel","Macronectes halli","petrel",1
"Southern royal albatross","Diomedea epomophora","albatross",1
"Unknown shearwater","Procellariidae (shearwater) spp.","skua",1
"Unknown skua","Stercorarius spp.","skua",1
